,title,price,available_date,listdate,link,location,Location:,contact,description,page_views,Available:,Furnishings:,Ideal tenants:,In the area:,Parking:,Property ID#:,Smoke alarm:,bathrooms,bedrooms
10,"4/59 Ellice St, MtVic",340,Available Mon 6 Feb,"Listed Sun, 22 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1247070057.htm,"Wellington Central, Wellington","4/59 Ellice St, MtVic
Wellington Central
Wellington
Wellington",,"1 bedroom apartment with 1 bathroom.Click video button above to see virtual tourAvailable Monday 6th FebruaryViewing times- Tuesday 7th February at 6 Pm sharp- Wednesday 8th February at 6 Pm sharpOther flats available:- 4 Hawker st, Mt Victoria $295Pw 1 Dbr Flat 6.30 Pm Sharp  same day See Trade me ad for this propertyPlease do NOT email. Just visit address during advertised times.No need to call but if you are out of town call 04 2374241.If you are two people I like to meet you both.No pets no matter how well behaved. Max 2 people. and NO smokers. (No smoking outside even)Suitable for up to 2 tenants.No pets or smokers.Agency reference #: 4/59No Letting Fee",5904,Mon 6 Feb,"Hire fridge, washing machine for $10pw per item. All brand new",No pets no matter how well behaved. Max 2 people. and NO smokers.,Basin Reserve,Coupon and residents available from WCC,FDC116,Yes,1,1
11,Kelburn,325,Available Mon 6 Feb,"Listed Fri, 20 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1245696359.htm,"Kelburn, Wellington","Kelburn
Wellington
Wellington",Property Management Office,"1 bedroom townhouse with 1 bathroom.1 bedroom semi-detached with 1 bathroom.This cosy 1 bedroom Kelburn flat has lots of sun and lots of charm, off street parking and garden shed for storage!Found in a quiet neighbourhood and only moments away from public transport this makes for a great location for students and professionals alike. Just a 15 minute walk to Victoria University.The living spaces are open and inviting and get all day sun. A tidy lawn area perfect for relaxed summer days.Perfect for a single or couple. .Garage available for extra $15 per week,No pets.Agency reference #: 392316",1738,Mon 6 Feb,Unfurnishe­d,,,,,,1,1
12,303/15 Holland Street,330,Available Sun 26 Feb,"Listed Wed, 18 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1244360830.htm,"Wellington Central, Wellington","303/15 Holland Street
Wellington Central
Wellington
Wellington",Quinovic Vivian St,"1 bedroom apartment with 1 bathroom.This modern, fully furnished studio apartment is located in Monvie Apartments in Holland Street within easy walking distance to Courtenay Place to on to the CBD and city. It is situated on the 3rd floor enjoying a sunny outlook to the north. Features include open plan living/dining adjacent to the modern galley style kitchen with laundry alcove, plus a separate bathroom. A north facing balcony deck is included.Suitable for up to 2 tenants.No pets or smokers.Agency reference #: VS150253",2028,Sun 26 Feb,"Bar fridge, 2 ring ceramic hob, oven, d/washer, combinatio­n washing machine/ dryer",,,Not Specified,,,1,1
13,126a Creswick Terrace,320,Available Mon 6 Feb,"Listed Fri, 13 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1241398399.htm,"Northland, Wellington","126a Creswick Terrace
Northland
Wellington
Wellington",,"1 bedroom unit with 1 bathroom.Book a viewing 027 255 9746.Private, sunny, modern (2004 - current building code), insulated top story studi apartment.The studio has both north and west facing windows to maximise the sun and views.  Located in a quiet street. Stroll to the Northland shops, or down to the CBD via the Botanic gardens in a few minutes, from Garden Rd or Governor Rd.  New washing machine and blinds (not in photo), fridge and outdoor balcony.  The carpet has recently been commercially cleaned. An idea location, suited to quiet considerate person.  Ring or txt to book your viewing (027 255 9746).No letting fees.Two weeks rent in advance and two weeks bond.No pets or smoking on premises.Ideal for 1 person.Suitable for one tenant.No pets or smokers.",2287,Mon 6 Feb,"Fridge, Washing machine, stove",Suits a quiet and considerat­e person - Ideal for 1 person.,"Sunny, modern with views.  Few mins to Northland shops, close to bus stops, across road from a park",,FCU687,Yes,1,1
14,Petone,320,Available Sun 12 Mar,"Listed Tue, 10 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257440749.htm,"Petone, Lower Hutt","Petone
Lower Hutt
Wellington",,"1 bedroom apartment with 1 bathroom.JUST LISTED.................IT DOESNT GET MUCH BETTER THAN THIS......................Are you tired of looking at poorly maintained and overpriced properties? We'll here's a breath of fresh air that will certainly satisfy most!On offer here is an extremely well presented warm and sunny, cosy and modern upstairs one bedroom character apartment located in a prime Petone location.Renovated to a high standard everything is near new, from kitchen, bathroom right through to the carpet. One good sized bedroom, open plan living. Separate bathroom and toilet.A unique feature of this apartment is that you will have access to an outdoor space which is shared. Perfect for those summer dinners!You will love to call this place home, it's perfect for a professional couple or a single.TO REGISTER YOUR INTEREST.......Please tell me the following about you and your situation.1- What are the full names of those proposing to reside at the apartment2- What are the occupations of each person/s3- What are the current addresses of each person and how long has that person resided at that address4- Your best contact phone numbervia EMAIL only:allan.davidson@nzrb.co.nzDue to anticipated demand, contact will only been made with those being successful in obtaining a viewing.NO LETTING FEE.............!!!Please note the photos show a similar apartment within the building and are shown to illustrate the quality and overall standard of the opportunity available only.Suitable for up to 2 tenants.No pets or smokers.",0290,Sun 12 Mar,,Profession­als,"Transport, Park, Pool, Jackson Street, and Beach all within a very short walk!",Free on street parking,FCR469,Yes,1,1
15,217 The terrace,340,Available Tue 31 Jan,"Listed Tue, 13 Dec",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1221894523.htm,"Wellington Central, Wellington","217 The terrace
Wellington Central
Wellington
Wellington",Aaron Graham,"1 bedroom apartment with 1 bathroom.1 bedroom apartment with 1 bathroom.This is a studio unit, not a 1 bedroom.AVAILABLE NOW 31/1/17Fully furnished studio apartment including power. Ready to go, just walk in with your bags. Super central location on the terrace with direct access to the Church St Steps. Minutes walk to the central city or Vic Uni.Kitchenette and washing machine in unit.Available short term -Min 3 month fixed term.Call today to book your viewing: Aaron 027  255 4917PERSONAL PROPERTY MANAGEMENT LTDSuitable for up to 2 tenants.No pets or smokers.",4110,Tue 31 Jan,Fully furnished including linen. Ready to live in when you walk in.,,"Minutes walk from Central city, beehive or Vic Uni.",None,FCC087,Yes,1,1
16,41 Hopper Street,300,Available Wed 15 Feb,"Listed Wed, 30 Nov",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1212707388.htm,"Te Aro, Wellington","41 Hopper Street
Te Aro
Wellington
Wellington",Rose Iversen,"1 bedroom apartment with 1 bathroom.Brand New Apartments available from 18th March 2017. Viewings will be early March. •	Built to 100% Earthquake Standard (NBS)•	Architecturally designed by Solari Architects •	Fully insulated & double glazedVedado Apartments are the latest in a line of very successful developments offered by this talented design and build team.  It progresses on from the popular Revolucion, Masina, and Detroit apartment complexes to provide the best of modern eclectic design brought together to provide a complex that allows for the needs of modern living within a warm, safe and secure environment.Vedado Apartments comprises of two blocks that are centred around a sizable central courtyard, the aspect and positioning of these blocks creates apartments that are light and airyFlexible living is created through careful design of the apartments and the complex as a whole.  Both one bedroom and studio apartments are available, studio rent ranges from $300.00 to $330.00 per week.For further information including floor plans and apartment features, please visit http://vedadoapartments.co.nz/ or visit our facebook page https://www.facebook.com/taylorpropertyplus/.***Register Your Interest***Register your interest below via ViewingTracker TODAY. If you experience a problem when doing this from a mobile device please download the ""Trade Me Property App"" or copy & paste the link ""http://www.property-plus.viewingtracker.com/  "" into your web browser. Viewing times will be organised and notified in the February.Please do not visit the construction site for health and safety purposes, but register your interest early ready for release and viewings in February. If you book in using the ‘Viewing Tracker’ link below you will be notified in February of the first viewing times.As this project nears completion some features, such as furnishing may be subject to change.Suitable for up to 2 tenants.No pets or smokers.Agency reference #: STU-VEDA",10572,Wed 15 Feb,Queen dropdown bed system   Leather couch   TV and DVD/Stereo    Fridge   Most have a washer dryer combo,Profession­al and caring,,Available at additional cost,FBR348,Yes,1,1
17,69A Duncan Terrace,340,Available Sat 17 Dec,"Listed Wed, 16 Nov",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1203168550.htm,"Kilbirnie, Wellington","69A Duncan Terrace
Kilbirnie
Wellington
Wellington",Reception,"1 bedroom unit with 1 bathroom.NO LETTING FEESolid one bedroom lower flat in a very quiet street and is a  short walk to the Kilbernie.  All amenities in walking distance and 15 minutes drive to CBD.Property Includes all whiteware and heatpump  Suit single professional or couple.To book a viewing of this property; click on the Viewing Tracker box, or go to www.quinovickt.viewingtracker.com (please copy and paste the link).Note that you must pre-book to attend a viewing as numbers are limited for each appointment. The property may be occupied so please do not go on the property without the viewing agent.Suitable for up to 2 tenants.No pets or smokers.Agency reference #: KT160595",8745,Sat 17 Dec,"Oven, fridge freezer, washing machine, dryer, Heat Pump",,,(None),,,1,1
18,219 Willis Street,310,Available Now,"Listed Thu, 19 Sep",http://www.trademe.co.nz/property/residential-property-to-rent/auction-887680806.htm,"Wellington Central, Wellington","219 Willis Street
Wellington Central
Wellington
Wellington",,"1 bedroom apartment with 1 bathroom.Studio & Twin share apartments with en suite bathroom & shower and Kitchenette FacilitiesWeekly rates from $310 onwards, call us for the best rates possible!!! Each apartment differs in shape and size and rates may vary.Studio suitable for a couple, Twin suitable for upto 3 people. Additional person rates my apply.Weekly internet of 3GB included.Rent includes electricity, hot water, and free SKY television. The apartment is fully furnished; including bed, fridge, tv, and almost everything you may need.There is a shared laundry, which costs $4  each per wash and dry. Weekly room service can be included for additional $40/week.Each apartment differs in shape and size and rates may vary.Suitable for up to 2 tenants.No pets or smokers.",40962,Now,"Fully furnished - Bed, TV, whiteware.",Working Profession­als,"Very Centrally located, Short walk to Courtenay Place, Lambton Quay, Massey, Te Papa",,CLL865,,1,1
19,219 Willis Street,340,Available NOW - FREE INTERNET + POWER + SKY TV,"Listed Mon, 16 Jul",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1204147111.htm,"Wellington Central, Wellington","219 Willis Street
Wellington Central
Wellington
Wellington",,"1 bedroom apartment with 1 bathroom.We now have a choice of fully furnished studio apartments available for rent from $330 p.w., centrally located at 219 Willis Street. It is suitable for either a medium or long term stay.Rent includes free electricity, free hot water, and free SKY television. The apartment is fully furnished; including bed (choice of double, king or 2x single beds), fridge, linen, sofa, tv, and almost everything you may need. There is a shared laundry, which costs $4. Telephone is not provided, but can be connected at your expense. FREE INTERNET - 5Gb per week.It is a studio apartment with a combined bedroom/kitchen/living area, and is the size of a hotel room. It gets excellent sun and has a view out over Wellington City. The building has secure access.The bond required is 2 weeks rent + $100. The tenancy is a periodic tenancy, which means you can move out with 3 weeks' notice.The apartment is suitable for 1-2 people only. The apartment is not suitable for any pets or smokers. Applicants may need to complete an application form, and a credit check may be required.Please note the photos are for illustrative purposes only, and the actual apartment may differ slightly from the photos shown. There are various apartments available from $330-$350pw, depending on the size.If you would like further information, or to arrange a viewing time, please phone on 0274 443464, or send a text requesting a call back. ***** If emailing then please ENSURE you give your mobile PHONE NUMBER when making contact, so we can get back to you. *****Suitable for up to 2 tenants.No pets or smokers.Agency reference #: 219 Willis St",4909,NOW - FREE INTERNET + POWER + SKY TV,"Fully furnished - bed, sofa, TV, whiteware.",Profession­al/s,"Short walk to Courtenay Place, Lambton Quay, Massey, Te Papa - everything Wellington has to offer!",$50pw if available. Otherwise there are other carparks available nearby.,CQG144,,1,1
20,219 Willis Street,340,Available NOW - FREE INTERNET + POWER + SKY TV,"Listed Wed, 26 Aug",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1204147103.htm,"Wellington Central, Wellington","219 Willis Street
Wellington Central
Wellington
Wellington",,"1 bedroom apartment with 1 bathroom.We now have a fully furnished studio apartment available for rent from $330 p.w., centrally located in Richard Pearse House, at 219 Willis Street. It is suitable for either a short or long term stay.Rent includes free electricity, free hot water, and free SKY television. The apartment is fully furnished; including bed, fridge, linen, sofa, tv, and almost everything you may need. There is a shared laundry, which costs $4 per use. Telephone is not provided, but can be connected at your expense.  FREE INTERNET - 5 Gigabyte per week.It is a studio apartment with a combined bedroom/kitchen/living area, and is the size of a hotel room. It gets excellent sun and has a view out over Wellington City. The building has secure access.The bond required is 2 weeks rent + $100. The tenancy is a periodic tenancy, which means you can move out with 3 weeks' notice.The apartment is suitable for 1-2 people only. The apartment is not suitable for any pets or smokers. All applicants will need to complete an application form, and a credit check is required.Please note the photos are for illustrative purposes only, and the actual apartment may differ slightly from the photos shown.If you would like further information, or to arrange a viewing time, please phone on 0274 443464. If emailing then please ENSURE you give your mobile phone number when making contact, so we can get back to you.Suitable for up to 2 tenants.No pets or smokers.",2814,NOW - FREE INTERNET + POWER + SKY TV,"Fully furnished - bed, sofa, TV, whiteware.",Profession­al/s.,"Short walk to Courtenay Place, Lambton Quay, Massey, Te Papa - everything Wellington has to offer!",No parking provided. Other carparks are available nearby.,ADQ399,,1,1
21,11 Donald St,300,Available Wed 8 Feb,Listed Today,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258518692.htm,"Featherston, South Wairarapa","11 Donald St
Featherston
South Wairarapa
Wellington",,"3 bedroom house with 1 bathroom.3 bedroom house.  2 large double bedrooms (one could be separate lounge) and 1 single. Kitchen/dining room -open plan with polished wooden floors. Bathroom with shower over the bath, separate toilet, separate laundry. Large heat pump in dining/kitchen. Large fenced section. Double garage with power. Quiet street.  5 minutes from shops etc. 10 mins to Featherston railway station. Fully insulated in roof and under floor. Renovated villa. Animals by negotiation.Pets Negotiable.",0018,Wed 8 Feb,"Sky dish, Heatpump",Profession­al couple,"Schools, parks, shops - small town and everything is nearby",Lockable Double Garage,FDT587,Yes,1,3
22,Melrose,300,Available Sat 11 Feb,Listed Today,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258496107.htm,"Melrose, Wellington","Melrose
Wellington
Wellington",Paul,"2 bedroom unit with 1 bathroom.This flat has a deck, fridge, washer and dishwasher.1 double bedroom with possible study/second room.References please.For an appointment to view go to www.homeads.co.nz and enter ID number: 109046Letting fee appliesJust Realty Ltd - HomeAdsLicensed Agent (REAA 2008)Suitable for up to 2 tenants.No pets or smokers.Agency reference #: 109046",0127,Sat 11 Feb,"Fridge, washing machine &amp; Dishwasher",,,,FDT577,,1,2
23,310/163 The Terrace,340,Available Fri 10 Mar,Listed Today,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258422216.htm,"Te Aro, Wellington","310/163 The Terrace
Te Aro
Wellington
Wellington",Sam Halliday,"1 bedroom apartment with 1 bathroom.This is a well presented furnished studio apartment located on The Terrace in Wellington.  Kitchen has dishwasher, fridge/freezer, oven, stove top, and a rangehood to eliminate cooking odours. Living and bedroom area has a double built-in wardrobe, and good sized floor space with large windows providing plenty of natural light. Bathroom has shower, vanity, heated towel rail and toilet. The laundry is located in the bathroom, with the washing machine and dryer tucked away nicely in a cupboard. This well maintained apartment is in a great city location and is fully secure.To make an enquiry or to book an appointment, simply click on the Viewing Tracker link and follow the prompts.No pets or smokers.Agency reference #: OXY46078",0105,Fri 10 Mar,As per chattel list,,,Not available,FDT478,,1,1
24,107/9 Blair Street,310,Available Sun 12 Feb,Listed Today,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258363483.htm,"Te Aro, Wellington","107/9 Blair Street
Te Aro
Wellington
Wellington",Awhina Karawana,"1 bedroom apartment with 1 bathroom.STUDIO APARTMENT CITY CENTRE - Secure and Great Location - This lovely big studio apartment is right in the centre of Wellington and has a good size  lounge and the kitchen has hob , oven and a fridge/freezer, the bathroom has a shower, toilet, vanity and there is a shared laundry with coin operated Washing machines and Driers.  This is in a fantastic and well sought after location - walk to work, the beach, New World, restaurants what more could you want?To make and enquiry or book an appointment to view simply click on the Viewing Tracker link and follow the prompts.No pets or smokers.Agency reference #: OXY1763",0147,Sun 12 Feb,"fridge/fre­ezer, electric oven,  hob",,,Not available,FDT168,,1,1
25,42 Aotaki Street,290,Available Mon 6 Mar,Listed Today,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258345160.htm,"Otaki, Kapiti Coast","42 Aotaki Street
Otaki
Kapiti Coast
Wellington",Jenny Rogers,"2 bedroom house with 1 bathroom.This older, comfortable, tidy home is 2 bedrooms with sunroom, gas heating, and located within walking distance to shopping centre. Lovely garden, and established fenced section with single garage and garden shed.  Would ideally suit a couple or couple with one child.This home is available early March. Excellent references essential.OPEN VIEWING WILL BE HELD ON SATURDAY 11TH FEBRUARY BETWEEN 11 AND 11.30AM. TENANCY APPLICATION FORMS WILL BE AVAILABLE THEN.No pets or smokers.Agency reference #: DWI643",0094,Mon 6 Mar,,,,,FDT089,,1,2
26,13A Bedford Street,270,Available Fri 17 Feb,Listed Today,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258319865.htm,"Northland, Wellington","13A Bedford Street
Northland
Wellington
Wellington",Jerram Tuck,"1 bedroom unit with 1 bathroom.Located in city fringe sun-soaked Northland. This compact, tidy unit (on of only three) is in a great location and ready for a new tenant in 2017. Close to public transport, within walking distance of the University and handy to the Botanic Gardens. The outlook is delightful, the area is well established and the grounds are looked after by a private contractor.Whiteware included and the added bonus of a designated car park.Suitable for up to 2 tenants.No pets or smokers.",0260,Fri 17 Feb,Whiteware included,Profession­al Single/Cou­ple,"University, Botanic Gardens, Public Transport &amp; CBD",Off street car pad,FDT003,,1,1
27,3/48D Merton Street,240,Available Wed 1 Mar,Listed Today,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258317281.htm,"Upper Hutt, Upper Hutt","3/48D Merton Street
Upper Hutt
Wellington",Robert Hansen,"2 bedroom townhouse with 1 bathroom.**To view the property, book online at: www.lpm.viewingtracker.com**Located in a village like setting, this is a sunny two bedroom townhouse in good condition.  Two bedrooms and bathroom upstairs, large living and kitchen downstairs.  Nice outdoor area.Apply online at www.lpmproperty.co.nz**To view the property, book online at: www.lpm.viewingtracker.com***Suitable for up to 3 tenants.No pets or smokers.Agency reference #: WLP1912",0185,Wed 1 Mar,,,Close to buses.,,FDS991,,1,2
